"x","y"
-96.25,38.25
-95.75,38.25
-95.25,38.25
-94.75,38.25
-94.25,38.25
-93.75,38.25
-93.25,38.25
-92.75,38.25
-92.25,38.25
-91.75,38.25
-91.25,38.25
-90.75,38.25
-90.25,38.25
-89.75,38.25
-89.25,38.25
-88.75,38.25
-88.25,38.25
-87.75,38.25
-87.25,38.25
-86.75,38.25
-86.25,38.25
-85.75,38.25
-85.25,38.25
-84.75,38.25
-84.25,38.25
-83.75,38.25
-83.25,38.25
-82.75,38.25
-82.25,38.25
-81.75,38.25
-81.25,38.25
-80.75,38.25
-80.25,38.25
-79.75,38.25
-79.25,38.25
-78.75,38.25
-78.25,38.25
-77.75,38.25
-77.25,38.25
-76.75,38.25
-76.25,38.25
-75.75,38.25
-75.25,38.25
-123.25,37.75
-122.75,37.75
-122.25,37.75
-121.75,37.75
-121.25,37.75
-120.75,37.75
-120.25,37.75
-119.75,37.75
-119.25,37.75
-118.75,37.75
-118.25,37.75
-117.75,37.75
-117.25,37.75
-116.75,37.75
-116.25,37.75
-115.75,37.75
-115.25,37.75
-114.75,37.75
-114.25,37.75
-113.75,37.75
-113.25,37.75
-112.75,37.75
-112.25,37.75
-111.75,37.75
-111.25,37.75
-110.75,37.75
-110.25,37.75
-109.75,37.75
-109.25,37.75
-108.75,37.75
-108.25,37.75
-107.75,37.75
-107.25,37.75
-106.75,37.75
-106.25,37.75
-105.75,37.75
-105.25,37.75
-104.75,37.75
-104.25,37.75
-103.75,37.75
-103.25,37.75
-102.75,37.75
-102.25,37.75
-101.75,37.75
-101.25,37.75
-100.75,37.75
-100.25,37.75
-99.75,37.75
-99.25,37.75
-98.75,37.75
-98.25,37.75
-97.75,37.75
-97.25,37.75
-96.75,37.75
-96.25,37.75
-95.75,37.75
-95.25,37.75
-94.75,37.75
-94.25,37.75
-93.75,37.75
-93.25,37.75
-92.75,37.75
-92.25,37.75
-91.75,37.75
-91.25,37.75
-90.75,37.75
-90.25,37.75
-89.75,37.75
-89.25,37.75
-88.75,37.75
-88.25,37.75
-87.75,37.75
-87.25,37.75
-86.75,37.75
-86.25,37.75
-85.75,37.75
-85.25,37.75
-84.75,37.75
-84.25,37.75
-83.75,37.75
-83.25,37.75
-82.75,37.75
-82.25,37.75
-81.75,37.75
-81.25,37.75
-80.75,37.75
-80.25,37.75
-79.75,37.75
-79.25,37.75
-78.75,37.75
-78.25,37.75
-77.75,37.75
-77.25,37.75
-76.75,37.75
-76.25,37.75
-75.75,37.75
-75.25,37.75
-122.25,37.25
-121.75,37.25
-121.25,37.25
-120.75,37.25
-120.25,37.25
-119.75,37.25
-119.25,37.25
-118.75,37.25
-118.25,37.25
-117.75,37.25
-117.25,37.25
-116.75,37.25
-116.25,37.25
-115.75,37.25
-115.25,37.25
-114.75,37.25
-114.25,37.25
-113.75,37.25
-113.25,37.25
-112.75,37.25
-112.25,37.25
-111.75,37.25
-111.25,37.25
-110.75,37.25
-110.25,37.25
-109.75,37.25
-109.25,37.25
-108.75,37.25
-108.25,37.25
-107.75,37.25
-107.25,37.25
-106.75,37.25
-106.25,37.25
-105.75,37.25
-105.25,37.25
-104.75,37.25
-104.25,37.25
-103.75,37.25
-103.25,37.25
-102.75,37.25
-102.25,37.25
-101.75,37.25
-101.25,37.25
-100.75,37.25
-100.25,37.25
-99.75,37.25
-99.25,37.25
-98.75,37.25
-98.25,37.25
-97.75,37.25
-97.25,37.25
-96.75,37.25
-96.25,37.25
-95.75,37.25
-95.25,37.25
-94.75,37.25
-94.25,37.25
-93.75,37.25
-93.25,37.25
-92.75,37.25
-92.25,37.25
-91.75,37.25
-91.25,37.25
-90.75,37.25
-90.25,37.25
-89.75,37.25
-89.25,37.25
-88.75,37.25
-88.25,37.25
-87.75,37.25
-87.25,37.25
-86.75,37.25
-86.25,37.25
-85.75,37.25
-85.25,37.25
-84.75,37.25
-84.25,37.25
-83.75,37.25
-83.25,37.25
-82.75,37.25
-82.25,37.25
-81.75,37.25
-81.25,37.25
-80.75,37.25
-80.25,37.25
-79.75,37.25
-79.25,37.25
-78.75,37.25
-78.25,37.25
-77.75,37.25
-77.25,37.25
-76.75,37.25
-76.25,37.25
-75.75,37.25
-122.25,36.75
-121.75,36.75
-121.25,36.75
-120.75,36.75
-120.25,36.75
-119.75,36.75
-119.25,36.75
-118.75,36.75
-118.25,36.75
-117.75,36.75
-117.25,36.75
-116.75,36.75
-116.25,36.75
-115.75,36.75
-115.25,36.75
-114.75,36.75
-114.25,36.75
-113.75,36.75
-113.25,36.75
-112.75,36.75
-112.25,36.75
-111.75,36.75
-111.25,36.75
-110.75,36.75
-110.25,36.75
-109.75,36.75
-109.25,36.75
-108.75,36.75
-108.25,36.75
-107.75,36.75
-107.25,36.75
